date,Vancouver,Victoria,Whitehorse
2022-03-18,7.75,8.19,-0.85
2022-03-17,6.55,6.5,0.29
2022-03-16,6.45,5.9,0.89
2022-03-15,7.7,8.19,-5
2022-03-14,7.1,7.75,-12.3
2022-03-13,8.3,8.6,-15.8
2022-03-12,7.19,6.1,-9.44
2022-03-11,3.9,4.95,-2.9
2022-03-10,2.35,2.04,-3.35
2022-03-09,3.25,3.09,-9.85
2022-03-08,7,7.3,-13.3
2022-03-07,6.3,5.9,-7.25
2022-03-06,4.5,5.69,-0.44
2022-03-05,6.1,6.15,-1.7
2022-03-04,6.65,6.95,-9.8
2022-03-03,7.25,6.15,-6.1
2022-03-02,8.65,6.75,-2.95
2022-03-01,10.05,9.19,-3.45
2022-02-28,7.45,8.19,-3.05
2022-02-27,7.55,8.9,-2.1
2022-02-26,4.05,1.95,-1.5
2022-02-25,0.4,0.5,-2.2
2022-02-24,-0.6,0.89,-8.4
2022-02-23,-2.65,-1.5,-8.19
2022-02-22,-0.2,-0.2,-11.89
2022-02-21,3.45,3.1,-22.45
2022-02-20,5.8,4.6,-15.25
2022-02-19,5.7,6.15,-4.59
2022-02-18,5.8,5.1,-1.79
2022-02-17,6.9,5.6,-2.45
2022-02-16,5.45,4.65,-5.25
2022-02-15,6.1,5,-5.9
2022-02-14,5.85,6.1,-11.9
2022-02-13,4.39,4.25,-7.6
2022-02-12,3.6,6.5,-0.39
2022-02-11,5.09,7.45,-6.8
2022-02-10,5.09,5.8,-4.8
2022-02-09,7.25,7.35,2.04
2022-02-08,5.45,4.5,-0.79
2022-02-07,7.35,5.9,0.34
2022-02-06,3.5,5.05,0.1
2022-02-05,5.7,4.69,-9.69
2022-02-04,6.19,8.19,-19.85
2022-02-03,3.85,5.15,-23.3
2022-02-02,0.09,1.4,-21.2
2022-02-01,2.84,1.9,-27.95
2022-01-31,5.35,3.7,-22.15
2022-01-30,6.1,5.09,-12.14
2022-01-29,3.4,3.7,-4.25
2022-01-28,2.9,1.1,-0.14
2022-01-27,2.19,3.6,-5.85
2022-01-26,2.29,1.99,-8.8
2022-01-25,2.15,3.15,-1.79
2022-01-24,3.25,3.84,-1.95
2022-01-23,2.15,2.6,-2.8
2022-01-22,4.2,3.84,2.75
2022-01-21,4.9,4.59,-2
2022-01-20,8.89,7.65,-10.15
2022-01-19,8.05,6.75,-10
2022-01-18,6.25,6.75,-17.25
2022-01-17,5.65,5.85,-12.85
2022-01-16,5.6,5.75,-4.84
2022-01-15,5.15,5.4,-5.05
2022-01-14,7.45,7.5,-0.09
2022-01-13,7.5,7.25,-6.65
2022-01-12,10.19,8.65,-10.64
2022-01-11,8.35,7.45,-11.7
2022-01-10,3.55,3.75,-21.7
2022-01-09,2.6,2.8,-31.15
2022-01-08,0.64,1.5,-38.35
